1  1  1.7591234430393894267+2.6947547076936598097*I
1  2  2.038893931892500171+2.495887623791744889*I
1  3  2.3064024597861236016+2.3081544240851791265*I
1  4  2.5616348037362424066+2.1317031944131164972*I
1  5  2.8045757385290870985+1.9666888064312865358*I
1  6  3.0352088962759388425+1.8132736719891144896*I
1  7  3.253516600462977674+1.6716286365472383336*I
1  8  3.459479666993697807+1.5419340481435047076*I
1  9  3.6530771628117823953+1.4243810510167052051*I
1  10  3.8342861097365097422+1.3191731716491213914*I
1  11  4.0030811167597687298+1.2265282921417056933*I
1  12  4.1594339179333140433+1.1466811473861995924*I
1  13  4.3033127838339082106+1.0798865472790157231*I
1  14  4.4346817613626983985+1.0264236302226567868*I
1  15  4.5534996770544994846+0.98660163094813477447*I
1  16  4.659718810455158565+0.96076795760173648917*I
1  17  4.753283103856249431+0.9493199547788873027*I
1  18  4.8341257256013479755+0.9527228895378683933*I
1  19  4.9021657785481085505+0.9715392131640183596*I
1  20  4.957304115827535203+1.0064802167166472485*I
1  21  4.9994194681577724714+1.0585080260644457404*I
1  22  5.028373368925404848+1.1290726733001124544*I
1  23  5.0440822583349108044+1.220827294685450445*I
1  24  5.0472655133013430697+1.3411867393932916746*I
1  25  5.09493206203173116+1.6464591671112693551*I
2  1  -5.229484703038474843+4.8213358933106096765*I
2  2  -4.7340134303002617154+4.4555739346667601955*I
2  3  -4.2594392523046769776+4.1058008766708228203*I
2  4  -3.8057936565602556245+3.7720840023076404792*I
2  5  -3.3731098616173434905+3.4544938810278414403*I
2  6  -2.9614230325777464018+3.1531047338093134101*I
2  7  -2.5707705360102262066+2.867994865048258289*I
2  8  -2.2011922460785087981+2.599247177718362908*I
2  9  -1.8527309168353912521+2.3469497942392016229*I
2  10  -1.5254326408476302849+2.1111968137324355786*I
2  11  -1.21934742216049427+1.8920892482646567491*I
2  12  -0.934529903461412223+1.6897361984651832475*I
2  13  -0.6710403055946123373+1.504256356242883206*I
2  14  -0.4289456666373538783+1.3357799656627654321*I
2  15  -0.20832151553076302147+1.1844514443435893113*I
2  16  -0.009254197036018709059+1.0504329900332579461*I
2  17  0.16815578845124499526+0.9339097178297546146*I
2  18  0.3237887879654063016+0.83509729704298870203*I
2  19  0.45749813229002573504+0.7542539330803728756*I
2  20  0.5690969363535987592+0.6917005360340585698*I
2  21  0.65833396459661001226+0.6478580828558862969*I
2  22  0.7248438896164008478+0.6233271557718889041*I
2  23  0.76802422737297106926+0.61909962279952880366*I
2  24  0.7866120040410877758+0.63742996325925036215*I
2  25  0.7738128396151828089+0.70624297708351173525*I
3  1  -12.8156002339213164+8.054828018536363271*I
3  2  -11.972355479269167784+7.4382502375670928483*I
3  3  -11.168247684520455508+6.8488751660987798285*I
3  4  -10.403301169332969404+6.2863280994839135945*I
3  5  -9.677540681832966626+5.7502145033022818584*I
3  6  -8.99099133825157492+5.2401177024607467517*I
3  7  -8.343678552793593758+4.7555961456071884122*I
3  8  -7.735627941231095828+4.2961801337314169838*I
3  9  -7.1668651851825040957+3.8613678653115837652*I
3  10  -6.637415840355775381+3.4506205974154982123*I
3  11  -6.147305064780994966+3.0633566446165954008*I
3  12  -5.6965572312845647097+2.6989438218941474918*I
3  13  -5.28519536956897737+2.356689760211213134*I
3  14  -4.9132403520519164187+2.0358292431868682199*I
3  15  -4.580709684476830001+1.7355072547595085988*I
3  16  -4.287615668430481402+1.4547556468454699446*I
3  17  -4.033962529202794242+1.1924599405734882219*I
3  18  -3.8197417636740111388+0.9473101338691815724*I
3  19  -3.64492425877766826+0.7177240250080818626*I
3  20  -3.5094461472722165787+0.50171965692819993403*I
3  21  -3.4131814371352507769+0.29668379893560373726*I
3  22  -3.3558833857885394724+0.098896425216198503914*I
3  23  -3.3370400140657475317-0.097653543991649322*I
3  24  -3.3554515994143216551-0.3055038072459326523*I
3  25  -3.4160632725322053547-0.6142019861965761656*I
4  1  -17242.151762120023234+10425.675702296235896*I
4  2  -19.041404256160392706+10.7372168544574596435*I
4  3  -17.867400760839751242+9.8928938057432270125*I
4  4  -16.760738553272048331+9.092874775376240859*I
4  5  -15.721400023575419422+8.3360299112178881005*I
4  6  -14.749363672023988868+7.6211642606806861023*I
4  7  -13.844603294656722687+6.947009655484798629*I
4  8  -13.007086965107800638+6.312215001553345896*I
4  9  -12.236775742441094491+5.715334535031989779*I
4  10  -11.533622009599095373+5.154813447849990467*I
4  11  -10.897567306488451413+4.628970056086145357*I
4  12  -10.328539458860675466+4.135973341041646089*I
4  13  -9.82644870487990385+3.6738141672490653691*I
4  14  -9.391182359911779933+3.2402676524261719824*I
4  15  -9.022597288557418815+2.8328428105431343086*I
4  16  -8.72050897739704635+2.4487132883173262543*I
4  17  -8.484675128562309661+2.084618916024153118*I
4  18  -8.314769997479239061+1.7367200632644042196*I
4  19  -8.210342167526985797+1.4003711660438124615*I
4  20  -8.170740453089480715+1.0697453314052329639*I
4  21  -8.194972382480054097+0.73715675965770833953*I
4  22  -8.281400339814884682+0.39168158735005509765*I
4  23  -8.426964699548303932+0.015778582197752740975*I
4  24  -8.624509941482344016-0.426369686191316763*I
4  25  -8.846858661668597844-1.1492593133779163354*I
5  1  -33.26225051694612972+18.170493370510418518*I
5  2  -31.270218700428720414+16.788041357523751687*I
5  3  -29.414227860835533935+15.495728325931271247*I
