1  1  11.7337
1  2  5.4991
1  3  4.84595
1  4  5.77361
1  5  7.6475
1  6  10.2712
1  7  13.5733
1  8  17.5259
1  9  22.1106
1  10  27.2974
1  11  33.0229
1  12  39.172
1  13  45.5571
1  14  51.9033
1  15  57.8459
1  16  62.9482
1  17  66.7477
1  18  68.8234
1  19  68.8698
1  20  66.7492
1  21  62.4923
1  22  56.2351
1  23  48.0533
1  24  37.5045
1  25  20.8026
2  1  -4.3102
2  2  -12.1313
2  3  -14.5997
2  4  -15.8019
2  5  -16.3586
2  6  -16.4708
2  7  -16.2164
2  8  -15.6206
2  9  -14.6815
2  10  -13.3816
2  11  -11.693
2  12  -9.58494
2  13  -7.03147
2  14  -4.02468
2  15  -0.592413
2  16  3.17727
2  17  7.1065
2  18  10.9061
2  19  14.1725
2  20  16.4252
2  21  17.1815
2  22  16.0366
2  23  12.6584
2  24  6.45752
2  25  -5.28623
3  1  -8.39407
3  2  -16.8658
3  3  -19.921
3  4  -21.8599
3  5  -23.2974
3  6  -24.4415
3  7  -25.3847
3  8  -26.1717
3  9  -26.8227
3  10  -27.3425
3  11  -27.7246
3  12  -27.9522
3  13  -27.9986
3  14  -27.828
3  15  -27.397
3  16  -26.6603
3  17  -25.5806
3  18  -24.1491
3  19  -22.4135
3  20  -20.5104
3  21  -18.6856
3  22  -17.2846
3  23  -16.7266
3  24  -17.5767
3  25  -21.1907
4  1  -8.54675
4  2  -17.3781
4  3  -20.5884
4  4  -22.7303
4  5  -24.4167
4  6  -25.8579
4  7  -27.149
4  8  -28.3395
4  9  -29.4563
4  10  -30.5111
4  11  -31.5038
4  12  -32.4248
4  13  -33.2519
4  14  -33.9501
4  15  -34.4699
4  16  -34.7476
4  17  -34.7108
4  18  -34.2903
4  19  -33.4425
4  20  -32.1797
4  21  -30.5955
4  22  -28.876
4  23  -27.2915
4  24  -26.2312
4  25  -27.4241
5  1  -7.09878
5  2  -16.4081
5  3  -19.6851
5  4  -21.8993
5  5  -23.6729
5  6  -25.2149
5  7  -26.6195
5  8  -27.9341
5  9  -29.1817
5  10  -30.3698
5  11  -31.4919
5  12  -32.5302
5  13  -33.4538
5  14  -34.219
5  15  -34.7716
5  16  -35.0526
5  17  -35.0075
5  18  -34.6021
5  19  -33.8383
5  20  -32.7678
5  21  -31.494
5  22  -30.1668
5  23  -28.9834
5  24  -28.2822
5  25  -31.1412
6  1  -4.12733
6  2  -14.1572
6  3  -17.4729
6  4  -19.6807
6  5  -21.4299
6  6  -22.9332
6  7  -24.2833
6  8  -25.5235
6  9  -26.6719
6  10  -27.7296
6  11  -28.6853
6  12  -29.5179
6  13  -30.1998
6  14  -30.6995
6  15  -30.9889
6  16  -31.0502
6  17  -30.8837
6  18  -30.5136
6  19  -29.9891
6  20  -29.3825
6  21  -28.7854
6  22  -28.311
6  23  -28.1263
6  24  -28.6376
6  25  -34.3836
7  1  -0.0639865
7  2  -11.1116
7  3  -14.5116
7  4  -16.7109
7  5  -18.4099
7  6  -19.8349
7  7  -21.0825
7  8  -22.198
7  9  -23.2001
7  10  -24.0932
7  11  -24.8717
7  12  -25.5261
7  13  -26.0455
7  14  -26.4236
7  15  -26.6619
7  16  -26.7738
7  17  -26.7854
7  18  -26.7352
7  19  -26.6713
7  20  -26.6514
7  21  -26.7444
7  22  -27.0472
7  23  -27.7387
7  24  -29.3419
7  25  -37.6794
8  1  -70.2706
8  2  -7.06371
8  3  -10.6779
8  4  -12.9358
8  5  -14.6278
8  6  -16.0079
8  7  -17.1862
8  8  -18.2172
8  9  -19.1292
8  10  -19.9369
8  11  -20.6484
8  12  -21.2694
8  13  -21.8068
8  14  -22.2717
8  15  -22.6797
8  16  -23.0522
8  17  -23.4159
8  18  -23.8014
8  19  -24.2449
8  20  -24.7904
8  21  -25.499
8  22  -26.4722
8  23  -27.9261
8  24  -30.5275
8  25  -41.4518
9  1  15.7571
9  2  6.48322
9  3  7.35937
9  4  -9.34521
9  5  -11.1071
9  6  -12.5189
9  7  -13.7088
9  8  -14.7445
9  9  -15.665
9  10  -16.496
9  11  -17.2564
9  12  -17.9615
9  13  -18.6267
9  14  -19.2676
9  15  -19.9014
9  16  -20.5468
9  17  -21.225
9  18  -21.9596
9  19  -22.7812
9  20  -23.7301
9  21  -24.8707
9  22  -26.3191
9  23  -28.3324
9  24  -31.7097
9  25  -44.8404
10  1  21.4682
10  2  10.4858
10  3  11.1476
10  4  -6.34743
10  5  -8.22057
10  6  -9.7095
10  7  -10.9593
10  8  -12.0489
10  9  -13.027
10  10  -13.9271
10  11  -14.7743
10  12  -15.5895
10  13  -16.3905
10  14  -17.1941
10  15  -18.0159
10  16  -18.8718
10  17  -19.7792
10  18  -20.7596
10  19  -21.8411
10  20  -23.0664
10  21  -24.5056
10  22  -26.2899
10  23  -28.7113
10  24  -32.6789
10  25  -47.5912
11  1  22.7514
11  2  9.84325
11  3  9.59921
11  4  11.1169
11  5  -6.00918
11  6  -7.58444
11  7  -8.90593
11  8  -10.0615
11  9  -11.1066
11  10  -12.0802
11  11  -13.0115
11  12  -13.9239
11  13  -14.837
11  14  -15.767
11  15  -16.7285
11  16  -17.7358
11  17  -18.8048
11  18  -19.9557
11  19  -21.2176
11  20  -22.6354
11  21  -24.2852
