1 1 -8.35131077454015*^-7
1 2 -8.041915865513372*^-7
1 3 -8.353512230542261*^-7
1 4 -9.28609986962699*^-7
1 5 -1.0839678782767408*^-6
1 6 -1.301424896996356*^-6
1 7 -1.5809810431215439*^-6
1 8 -1.922636316652303*^-6
1 9 -2.326390717588637*^-6
1 10 -2.79224424593055*^-6
1 11 -3.320196901678032*^-6
1 12 -3.910248684831086*^-6
1 13 -4.562399595389717*^-6
1 14 -5.27664963335392*^-6
1 15 -6.052998798723698*^-6
1 16 -6.891447091499048*^-6
1 17 -7.791994511679974*^-6
1 18 -8.754641059266473*^-6
1 19 -9.779386734258544*^-6
1 20 -0.000010866231536656192
1 21 -0.00001201517546645941
1 22 -0.000013226218523668207
1 23 -0.000014499360708282567
1 24 -0.00001583460202030251
1 25 -0.000017231942459728025
2 1 2.0739712979465076*^-6
2 2 1.8999830344787317*^-6
2 3 1.7241981459287802*^-6
2 4 1.5466166322966872*^-6
2 5 1.3672384935824368*^-6
2 6 1.186063729786038*^-6
2 7 1.003092340907485*^-6
2 8 8.183243269467802*^-7
2 9 6.317596879039341*^-7
2 10 4.433984237789302*^-7
2 11 2.532405345717765*^-7
2 12 6.128602028247157*^-8
2 13 -1.3246511908898631*^-7
2 14 -3.2801288354259905*^-7
2 15 -5.25357273078357*^-7
2 16 -7.244982876962691*^-7
2 17 -9.254359273963323*^-7
2 18 -1.128170192178546*^-6
2 19 -1.3327010820429148*^-6
2 20 -1.5390285969894285*^-6
2 21 -1.7471527370180996*^-6
2 22 -1.957073502128922*^-6
2 23 -2.1687908923218876*^-6
2 24 -2.3823049075970246*^-6
2 25 -2.5976155479542932*^-6
3 1 5.519399824614044*^-6
3 2 5.180292954765313*^-6
3 3 5.035591141393229*^-6
3 4 5.085294384497942*^-6
3 5 5.329402684079378*^-6
3 6 5.767916040137502*^-6
3 7 6.400834452672403*^-6
3 8 7.228157921684*^-6
3 9 8.249886447172312*^-6
3 10 9.46602002913739*^-6
3 11 0.000010876558667579172
3 12 0.000012481502362497702
3 13 0.000014280851113892945
3 14 0.000016274604921764922
3 15 0.000018462763786113624
3 16 0.000020845327706939064
3 17 0.000023422296684241214
3 18 0.0000261936707180201
3 19 0.000029159449808275703
3 20 0.00003231963395500806
3 21 0.00003567422315821714
3 22 0.00003922321741790292
3 23 0.00004296661673406545
3 24 0.000046904421106704733
3 25 0.0000510366305358207
4 1 8.782666383588818*^-6
4 2 8.363582923475192*^-6
4 3 8.447616244139807*^-6
4 4 9.034766345582718*^-6
4 5 0.000010125033227803935
4 6 0.000011718416890803422
4 7 0.000013814917334581203
4 8 0.00001641453455913728
4 9 0.000019517268564471612
4 10 0.000023123119350584258
4 11 0.000027232086917475217
4 12 0.00003184417126514444
4 13 0.00003695937239359197
4 14 0.000042577690302817765
4 15 0.00004869912499282186
4 16 0.00005532367646360425
4 17 0.00006245134471516492
4 18 0.00007008212974750386
4 19 0.00007821603156062114
4 20 0.00008685305015451668
4 21 0.00009599318552919054
4 22 0.00010563643768464267
4 23 0.00011578280662087305
4 24 0.0001264322923378818
4 25 0.00013758489483566878
5 1 0.000014079433449631666
5 2 0.000013662050141236687
5 3 0.000014460363359166493
5 4 0.000016474373103420946
5 5 0.00001970407937400021
5 6 0.00002414948217090423
5 7 0.000029810581494132886
5 8 0.00003668737734368632
5 9 0.0000447798697195645
5 10 0.000054088058621767415
5 11 0.00006461194405029506
5 12 0.00007635152600514744
5 13 0.00008930680448632459
